Time,Country Name,ISO,FDI inflows,GDP per capita
2020,Sweden,SWE,18769404711,52837.90398
2021,Israel,ISR,18949900000,52129.51596
2020,Ireland,IRL,28197148647,85973.08849
2021,Canada,CAN,59125104307,52515.19984
2020,Israel,ISR,20968700000,44846.7916
2021,Luxembourg,LUX,25122591053,133711.7944
2021,Italy,ITA,24902365871,36449.25834
2021,Malta,MLT,4761059354,34881.29127
2020,Switzerland,CHE,-2.42E+11,85897.78433
2020,Iceland,ISL,-878458464.6,58848.41812
2021,Iceland,ISL,465792586.9,68710.2442
2021,Sweden,SWE,54752678200,61417.68088
2021,Norway,NOR,14179043238,93072.89251
2021,Spain,ESP,57190000960,30488.82095
2020,Faroe Islands,FRO,,62234.96868
2020,Australia,AUS,15841437866,51868.24756
2020,Norway,NOR,-4102660408,68340.0181
2021,Australia,AUS,27804057511,60697.24544
2020,"Korea, Rep.",KOR,8764900000,31721.29891
2021,Singapore,SGP,1.39E+11,77710.08924
2021,Faroe Islands,FRO,,69108.20658
2021,"Korea, Rep.",KOR,22060400000,35142.26427
2021,Switzerland,CHE,-1.17E+11,93446.43445
2021,Liechtenstein,LIE,,197504.5489
2021,Japan,JPN,35204421199,40058.53733
2020,Singapore,SGP,78447583787,61273.99166
2020,Japan,JPN,62584719398,40040.76551
2020,"Macao SAR, China",MAC,-6216383036,37474.73459
2021,"Macao SAR, China",MAC,5684328713,45104.89218
2021,"Hong Kong SAR, China",HKG,1.37E+11,49764.79312
2020,"Hong Kong SAR, China",HKG,1.17E+11,46109.22999
2022,South Sudan,SSD,121500000,
2020,Palau,PLW,43100000,14349.31682
2022,"Macao SAR, China",MAC,2933072258,34584.85909
2022,Benin,BEN,266603189.5,1302.851036
2022,Bolivia,BOL,2849849.423,3600.121635
2022,"Hong Kong SAR, China",HKG,1.22E+11,48983.62172
2022,China,CHN,1.80E+11,12720.21632
2022,Maldives,MDV,721895590.2,11780.81691
2022,Saudi Arabia,SAU,28055082624,30447.88371
2022,Japan,JPN,49278835164,34017.27181
2022,Grenada,GRD,156234559.1,9689.0827
2021,Palau,PLW,31441000,12921.82732
2022,St. Kitts and Nevis,KNA,43325552.74,20262.26714
2022,Oman,OMN,5478803641,25056.79486
2022,Switzerland,CHE,-10988929764,93259.90572
2022,Panama,PAN,2997059850,17357.62863
2022,"Congo, Rep.",COG,532256251,2649.225022
2022,Viet Nam,VNM,17900000000,4163.514299
2022,Malaysia,MYS,14725970432,11993.18761
2022,Ecuador,ECU,845052803.5,6391.282484
2022,Bahrain,BHR,1951329787,30146.92503
2022,Brunei Darussalam,BRN,-292416275.5,37152.47697
2022,West Bank and Gaza,PSE,232941162.1,3789.327966
2022,Kuwait,KWT,752255306,41079.5227
2022,Indonesia,IDN,24702029705,4787.999308
2022,Niger,NER,965976159,585.4049292
2022,Jordan,JOR,1137042254,4311.000046
2022,Gabon,GAB,1104592039,8820.347337
2022,Tanzania,TZA,1264667981,1192.766479
2022,Israel,ISR,23031200000,54930.93881
2022,Libya,LBY,,6716.095985
2022,Fiji,FJI,103581591.6,5356.164396
2022,Equatorial Guinea,GNQ,458509903,7182.265382
2022,United Arab Emirates,ARE,22736555480,53707.98008
2022,Iraq,IRQ,-2088200000,5937.195466
2022,Qatar,QAT,76098901.1,87661.45015
2022,"Korea, Rep.",KOR,17996000000,32422.57449
2022,Djibouti,DJI,187022847.6,3136.112768
2022,France,FRA,1.05E+11,40886.25327
2022,Papua New Guinea,PNG,326714860.8,3115.922923
2022,Cote d'Ivoire,CIV,1599115749,2486.412194
2022,Cambodia,KHM,3578831296,1759.608023
2022,"Micronesia, Fed. Sts.",FSM,,3713.955362
2022,Solomon Islands,SLB,40718832.69,2205.251805
2022,Central African Republic,CAF,24047722.19,427.0580962
2022,"Bahamas, The",BHS,530913950.4,31458.30081
2022,Bhutan,BTN,8402097.146,
2022,St. Vincent and the Grenadines,VCT,32692799.08,9125.324771
2022,Norway,NOR,12903798816,108729.1869
2022,Chad,TCD,614018506.5,716.8043811
2022,Philippines,PHL,9365998303,3498.509806
2022,Trinidad and Tobago,TTO,-913501690.4,19629.46534
2022,Thailand,THA,11231916012,6909.956285
2022,Namibia,NAM,1056043503,5031.11503
2022,Guyana,GUY,440109966.1,18199.47484
2022,Singapore,SGP,1.41E+11,82807.62906
2022,Malta,MLT,4829250953,34127.51056
2022,Cameroon,CMR,925681548.6,1563.48894
2022,Belize,BLZ,140907967.6,6984.21696
2022,Luxembourg,LUX,-3.22E+11,125006.0218
2022,St. Lucia,LCA,32968826.65,13030.92848
2022,Australia,AUS,70084936395,65099.84591
2022,Morocco,MAR,2177845609,3441.991455
2022,India,IND,49940258404,2410.888021
2022,Albania,ALB,1441381891,6810.114041
2022,Canada,CAN,49984660122,55522.44569
2022,Germany,DEU,47374917273,48717.99114
2022,Guatemala,GTM,1386717660,5473.208564
2022,South Africa,ZAF,9194808416,6766.481254
2022,Vanuatu,VUT,10694983.22,3231.3513
2022,Finland,FIN,13363660492,50871.93045
2022,New Zealand,NZL,8340194362,48418.59166
2022,Uganda,UGA,2952941688,964.3958695
2022,El Salvador,SLV,-388706.86,5127.321668
2022,Antigua and Barbuda,ATG,301726890.5,19919.72669
2022,Nepal,NPL,65455865.1,1336.546047
2022,Kenya,KEN,393583092.1,2099.301938
2022,Denmark,DNK,34212739240,67790.05399
2022,Bangladesh,BGD,1634888030,2688.305501
2022,Ireland,IRL,-1898868608,103983.2913
2022,Portugal,PRT,9531041797,24515.26585
2022,Mexico,MEX,39101311849,11496.52287
2022,United Kingdom,GBR,44897919401,46125.25575
2022,Cabo Verde,CPV,121843587.6,3754.304794
2022,Togo,TGO,-226939149.5,942.6499016
2022,United States,USA,3.88E+11,76329.58227
2022,Madagascar,MDG,467848664.2,516.592616
2022,Italy,ITA,62728326244,34776.42323
2022,Lesotho,LSO,-7820069.161,969.9357602
2022,Costa Rica,CRI,3673404329,13365.3564
2022,Tunisia,TUN,643213141.2,3747.419391
2022,Iceland,ISL,1220864331,73466.77867
2022,Peru,PER,10848486728,7125.829931
2022,Sweden,SWE,45881781374,56424.2847
2022,Spain,ESP,51425057274,29674.54429
2022,Cyprus,CYP,480194908.4,32048.24023
2022,Austria,AUT,10114413567,52084.6812
2022,Armenia,ARM,998055425.4,7018.051504
2022,Dominican Republic,DOM,3961600000,10111.24571
2022,Slovenia,SVN,2180392923,28439.3341
2022,Honduras,HND,758999597.6,3040.173046
2022,Uruguay,URY,8523456475,20795.04235
2022,Algeria,DZA,75640098.09,4342.637968
2022,Brazil,BRA,74606361830,8917.674911
2022,Guinea-Bissau,GNB,21940884.89,775.8289657
2022,Mauritania,MRT,1401620462,2065.155516
2022,Belgium,BEL,12484998787,49926.82543
2022,Mali,MLI,252912731.3,833.2972551
2022,Greece,GRC,7947989003,20867.26909
2022,Senegal,SEN,2586179934,1598.726433
2022,Paraguay,PRY,672035411.4,6153.055657
2022,Netherlands,NLD,-12076017256,57025.01246
2022,Colombia,COL,17182521350,6624.165393
2022,Mozambique,MOZ,2539017296,558.2986064
2022,Jamaica,JAM,318736000,6047.216457
2022,Nicaragua,NIC,1293800000,2255.425995
2022,Guinea,GIN,658300000,1515.167948
2022,Mauritius,MUS,252104279.7,10256.23031
2022,Croatia,HRV,3589230734,18570.404
2022,Samoa,WSM,4800455.465,3745.560367
2022,Tonga,TON,7492007.084,
2022,Zambia,ZMB,-65118862.82,1456.90157
2022,Uzbekistan,UZB,2497511103,2255.151155
2022,"Gambia, The",GMB,231488000,808.2782815
2022,Kosovo,XKX,764162311.4,5340.268798
2022,Chile,CHL,20864902958,15355.47974
2022,Botswana,BWA,216459291.1,7738.878804
2022,Georgia,GEO,2131439388,6674.95696
2022,Serbia,SRB,4612248812,9537.682867
2022,Palau,PLW,72014000,
2022,Slovak Republic,SVK,4049276966,21256.80843
2022,Montenegro,MNE,872558550.3,10093.4387
2022,Romania,ROU,11477511659,15786.80174
2022,Azerbaijan,AZE,-4474481000,7762.073829
2022,"Egypt, Arab Rep.",EGY,11399900000,4295.407496
2022,Kyrgyz Republic,KGZ,54849000,1655.072698
2022,North Macedonia,MKD,854152514.5,6591.471314
2022,Burkina Faso,BFA,121295499.8,830.0371503
2022,Poland,POL,36900000000,18688.00449
2022,Hungary,HUN,-10235193159,18390.185
2022,Czechia,CZE,10529730879,27226.61564
2022,Mongolia,MNG,2504294750,5045.5047
2022,Belarus,BLR,1613025743,7888.263711
2022,Bulgaria,BGR,3216630000,13974.44925
2022,Latvia,LVA,1161689940,21779.50426
2022,Rwanda,RWA,398599354.8,966.2320714
2022,Sao Tome and Principe,STP,126744196,2386.696176
2022,Burundi,BDI,12883687.93,259.0250314
2022,Nigeria,NGA,-186792428.9,2162.633734
2022,Estonia,EST,1646928488,28247.09599
